X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766317.45;6284532.45;0.82;0.47;17;6560;37.4;60
766312.45;6284531.58;0.83;0.54;50;6640;62.3;33.6
766312.35;6284535.04;0.88;0.38;47;7040;57.4;36
766312.28;6284537;0.79;0.31;61;6320;68.8;24.8
766312.18;6284540.12;0.79;0.35;53;6320;60.3;31.2
766312.12;6284542.95;0.81;0.44;54;6480;64;30.4
766312.09;6284545.59;0.83;0.29;61;6640;69.8;24.8
766312;6284548.42;0.75;0.32;51;6000;56.4;32.8
766311.93;6284551.12;0.8;0.4;54;6400;62.8;30.4
766311.83;6284554.56;0.72;0.35;58;5760;63.6;27.2
766311.73;6284557.44;0.75;0.38;50;6000;56.5;33.6
766311.68;6284560.54;0.78;0.39;55;6240;63.1;29.6
766311.63;6284563.13;0.81;0.32;57;6480;64.9;28
766311.58;6284565.14;0.72;0.31;43;5760;47.8;39.2
766311.48;6284568.59;0.72;0.3;40;5760;45.1;41.6
766311.41;6284571.58;0.82;0.32;61;6560;70.2;24.8
766311.32;6284574.41;0.77;0.4;62;6160;71.4;24
766311.15;6284577.53;0.8;0.38;43;6400;51.2;39.2
766311.14;6284579.87;0.79;0.4;49;6320;57.1;34.4
766311.04;6284583.22;0.78;0.35;58;6240;65.7;27.2
766311.02;6284585.44;0.75;0.33;55;6000;60.8;29.6
766310.91;6284589;0.77;0.35;59;6160;66.5;26.4
766310.82;6284591.38;0.93;0.87;31;7440;59.2;48.8
766310.81;6284594.68;0.81;0.36;61;6480;70.7;24.8
766310.7;6284597.55;0.79;0.31;52;6320;58.4;32
766310.62;6284600.25;0.76;0.39;57;6080;64.7;28
766310.53;6284603.28;0.76;0.43;56;6080;64.4;28.8
766310.41;6284606.37;0.84;0.34;50;6720;58.5;33.6
766310.26;6284608.9;0.74;0.32;56;5920;61.3;28.8
766310.25;6284612;0.76;0.34;58;6080;64.7;27.2
766310.17;6284614.7;0.73;0.38;56;5840;62.3;28.8
766310.13;6284617.72;0.74;0.4;44;5920;50.8;38.4
766310.08;6284620.46;0.76;0.41;48;6080;55.3;35.2
766309.94;6284624.02;0.92;0.39;45;7360;56.8;37.6
766309.93;6284626.06;0.83;0.36;56;6640;65.3;28.8
766309.88;6284629.38;0.75;0.38;61;6000;68.9;24.8
766309.77;6284631.96;0.79;0.33;62;6320;70.5;24
766309.65;6284634.57;0.87;0.36;51;6960;61;32.8
766309.63;6284637.37;0.83;0.36;52;6640;60.8;32
766309.55;6284640.73;0.8;0.31;53;6400;59.8;31.2
766309.54;6284642.15;0.91;0.35;58;7280;70.5;27.2
766304.71;6284640.11;0.35;0.45;-8;2800;17.7;80
766304.74;6284637.57;0.94;0.99;44;7520;73.4;38.4
766304.78;6284635.23;0.93;0.95;40;7440;68.1;41.6
766304.87;6284632.22;0.88;0.49;48;7040;60.7;35.2
766305.01;6284628.88;0.93;0.85;43;7440;67.1;39.2
766305.04;6284626.45;0.86;0.44;54;6880;65.8;30.4
766305.11;6284624.15;0.81;0.42;57;6480;67.2;28
766305.22;6284620.1;0.85;0.69;28;6800;48.5;51.2
766305.28;6284618.09;0.85;0.46;52;6800;63.6;32
766305.35;6284615.55;0.86;0.55;49;6880;62.4;34.4
766305.5;6284611.95;0.81;0.38;58;6480;67.4;27.2
766305.51;6284608.63;0.8;0.39;48;6400;56.2;35.2
766305.63;6284605.97;0.84;0.41;50;6720;59.9;33.6
766305.66;6284603.27;0.88;0.41;49;7040;60.2;34.4
766305.63;6284600.52;0.91;0.49;50;7280;64;33.6
766305.76;6284597.73;0.81;0.28;60;6480;67.6;25.6
766305.87;6284594.9;0.86;0.46;48;6880;59.5;35.2
766305.93;6284592.05;0.81;0.34;61;6480;70.2;24.8
766305.98;6284589.15;0.85;0.59;27;6800;45.7;52
766306.04;6284586.63;0.94;0.45;49;7520;63;34.4
